keyword,search_index_w,is_surging
穿搭,1020.5,False
夏季穿搭,391.6,True
春季穿搭,374.1,False
lululenmon,303.0,True
裙子,285.1,True
夏天穿搭,280.4,True
短袖,273.4,True
韩系穿搭,234.0,False
穿搭风格,210.2,False
睡衣,209.9,False
海边穿搭,198.9,False
包包推荐,196.8,False
lv包包,191.2,False
连衣裙,182.3,True
外套,175.2,True
夏季穿搭推荐,174.2,True
春天穿搭,159.1,False
拉夫劳伦,158.9,False
高跟鞋,157.9,True
吊带,152.7,False
鞋子推荐女,152.5,False
阿迪达斯外套,151.7,True
裤子,150.6,True
鞋子,149.2,True
包包,148.6,False
优衣库,146.3,True
lululemon,145.4,False
旗袍,145.3,True
五一穿搭,144.0,False
裙子推荐,142.4,True
洞洞鞋,134.8,True
crocs洞洞鞋,132.0,True
jk,127.6,True
春夏穿搭,127.4,False
帽子,124.5,True
内衣,122.8,False
牛仔裤,122.5,False
男生穿搭,122.3,False
香奈儿,122.2,False
睡衣推荐夏天,120.8,False
双肩包,120.7,False
穿搭早春,120.6,False
洞洞鞋推荐,119.2,True
鬼冢虎,119.1,True
衣服,117.3,False
衬衫,116.3,True
风衣穿搭,113.2,True
半身裙,112.7,True
衬衫穿搭,110.8,True
短袖t恤推荐女,110.8,True
