keyword,category,lifecycle,search_index_w,is_surging,inc_views_w,inc_participants_w,total_views_yi,total_participants_w,inc_engagement_pct,total_engagement_pct,inc_ratio_pct,competition_pct,priority,recommend_for,action_note
夏季穿搭,季节,增长期,846.2,1,33323.0,22.5,389.6,1490.8,0.07,0.04,0.86,60.8,高,综合,综合推荐：夏季穿搭（搜索846.2w，增占比0.86%）
裙子,品类参考,需求期,285.1,1,,,,,,,,,高,选品,优先备货：裙子（搜索285.1w）
短袖,品类参考,萌芽期,273.4,1,5760.7,3.5,,,0.06,,,,高,选品,优先备货：短袖（搜索273.4w）
连衣裙,品类参考,成熟期,182.3,1,6804.9,1.0,142.1,402.9,0.01,0.03,0.48,28.7,高,选品,优先备货：连衣裙（搜索182.3w）
外套,品类参考,观察,175.2,1,,,76.3,277.6,,0.04,,15.4,高,选品,优先备货：外套（搜索175.2w）
裤子,品类参考,观察,150.6,1,,,100.2,345.7,,0.03,,20.2,高,选品,优先备货：裤子（搜索150.6w）
旗袍,品类参考,观察,145.3,1,,,75.7,225.4,,0.03,,15.3,高,选品,优先备货：旗袍（搜索145.3w）
韩系穿搭,风格,增长期,234.0,0,24000.0,10.4,252.0,1030.0,0.04,0.04,0.95,10.6,中,综合,综合推荐：韩系穿搭（搜索234.0w，增占比0.95%）
通勤穿搭,场景,增长期,,0,14000.0,8.5,134.7,558.6,0.06,0.04,1.04,43.6,中,风格,穿搭方向：通勤穿搭（增长期，增占比1.04%）
微胖穿搭,人群,增长期,,0,11000.0,4.6,204.8,370.6,0.04,0.02,0.54,15.0,中,风格,穿搭方向：微胖穿搭（增长期，增占比0.54%）
氛围感穿搭,风格,增长期,,0,9936.8,4.5,111.8,404.5,0.05,0.04,0.89,4.7,中,风格,穿搭方向：氛围感穿搭（增长期，增占比0.89%）
早春穿搭,季节,增长期,120.6,0,8843.8,4.3,126.9,336.5,0.05,0.03,0.7,19.8,中,综合,综合推荐：早春穿搭（搜索120.6w，增占比0.7%）
春季穿搭,季节,增长期,533.2,0,8286.0,3.5,124.6,382.8,0.04,0.03,0.67,19.4,中,综合,综合推荐：春季穿搭（搜索533.2w，增占比0.67%）
梨形身材,人群,增长期,,0,7910.6,1.8,151.1,259.6,0.02,0.02,0.52,11.1,中,风格,穿搭方向：梨形身材（增长期，增占比0.52%）
温柔穿搭,风格,增长期,,0,7102.7,2.0,137.6,405.9,0.03,0.03,0.52,5.8,中,风格,穿搭方向：温柔穿搭（增长期，增占比0.52%）
高跟鞋,品类参考,需求期,157.9,1,,,,,,,,,中,选品,优先备货：高跟鞋（搜索157.9w）
鞋子,品类参考,需求期,149.2,1,,,,,,,,,中,选品,优先备货：鞋子（搜索149.2w）
裙子推荐,品类参考,需求期,142.4,1,,,,,,,,,中,选品,优先备货：裙子推荐（搜索142.4w）
洞洞鞋,品类参考,需求期,134.8,1,,,,,,,,,中,选品,优先备货：洞洞鞋（搜索134.8w）
帽子,品类参考,需求期,124.5,1,,,,,,,,,中,选品,优先备货：帽子（搜索124.5w）
洞洞鞋推荐,品类参考,需求期,119.2,1,,,,,,,,,中,选品,优先备货：洞洞鞋推荐（搜索119.2w）
鬼冢虎,品类参考,需求期,119.1,1,,,,,,,,,中,选品,优先备货：鬼冢虎（搜索119.1w）
衬衫,品类参考,需求期,116.3,1,,,,,,,,,中,选品,优先备货：衬衫（搜索116.3w）
风衣穿搭,品类参考,需求期,113.2,1,,,,,,,,,中,选品,优先备货：风衣穿搭（搜索113.2w）
半身裙,品类参考,需求期,112.7,1,,,,,,,,,中,选品,优先备货：半身裙（搜索112.7w）
短袖t恤推荐女,品类参考,需求期,110.8,1,,,,,,,,,中,选品,优先备货：短袖t恤推荐女（搜索110.8w）
高级感穿搭,风格,萌芽期,,0,5651.0,3.2,97.1,472.6,0.06,0.05,0.58,4.1,中,风格,穿搭方向：高级感穿搭（萌芽期，增占比0.58%）
方圆脸,人群,萌芽期,,0,5058.5,0.6456,99.0,99.6,0.01,0.01,0.51,7.2,中,风格,穿搭方向：方圆脸（萌芽期，增占比0.51%）
氛围感,概念,增长期,,0,28000.0,5.3,497.5,966.1,0.02,0.02,0.56,28.0,低,风格,穿搭方向：氛围感（增长期，增占比0.56%）
生活美学,概念,增长期,,0,28000.0,12.3,208.8,1144.2,0.04,0.05,1.34,11.7,低,风格,穿搭方向：生活美学（增长期，增占比1.34%）
审美积累,概念,增长期,,0,16000.0,4.5,157.5,427.8,0.03,0.03,1.02,8.9,低,风格,穿搭方向：审美积累（增长期，增占比1.02%）
穿搭风格,灵感,需求期,210.2,0,,,,,,,,,低,选品,优先备货：穿搭风格（搜索210.2w）
睡衣,品类参考,需求期,209.9,0,,,,,,,,,低,选品,优先备货：睡衣（搜索209.9w）
海边穿搭,场景,需求期,198.9,0,,,,,,,,,低,选品,优先备货：海边穿搭（搜索198.9w）
包包推荐,品类参考,需求期,196.8,0,,,,,,,,,低,选品,优先备货：包包推荐（搜索196.8w）
lv包包,品类参考,需求期,191.2,0,,,,,,,,,低,选品,优先备货：lv包包（搜索191.2w）
吊带,品类参考,需求期,152.7,0,,,,,,,,,低,选品,优先备货：吊带（搜索152.7w）
鞋子推荐女,品类参考,需求期,152.5,0,,,,,,,,,低,选品,优先备货：鞋子推荐女（搜索152.5w）
包包,品类参考,需求期,148.6,0,,,,,,,,,低,选品,优先备货：包包（搜索148.6w）
五一穿搭,场景,需求期,144.0,0,,,,,,,,,低,选品,优先备货：五一穿搭（搜索144.0w）
睡衣推荐夏天,品类参考,需求期,120.8,0,,,,,,,,,低,选品,优先备货：睡衣推荐夏天（搜索120.8w）
双肩包,品类参考,需求期,120.7,0,,,,,,,,,低,选品,优先备货：双肩包（搜索120.7w）
我的穿搭公式,概念,萌芽期,,0,17000.0,0.1871,,,,,,,低,风格,穿搭方向：我的穿搭公式（萌芽期，增占比0%）
微胖女孩的夏天,人群,萌芽期,,0,14000.0,0.1516,,,,,,,低,风格,穿搭方向：微胖女孩的夏天（萌芽期，增占比0%）
秋冬穿搭2024高级感,风格,萌芽期,,0,12000.0,0.304,,,,,,,低,风格,穿搭方向：秋冬穿搭2024高级感（萌芽期，增占比0%）
韩剧安娜穿搭,风格,萌芽期,,0,11000.0,0.0462,,,,,,,低,风格,穿搭方向：韩剧安娜穿搭（萌芽期，增占比0%）
colorwalk,场景,萌芽期,,0,10000.0,2.1,,,0.02,,,,低,风格,穿搭方向：colorwalk（萌芽期，增占比0%）
松弛感穿搭,风格,萌芽期,,0,9003.8,6.3,,,0.07,,,,低,风格,穿搭方向：松弛感穿搭（萌芽期，增占比0%）
五一出游穿搭,场景,萌芽期,,0,7606.8,6.1,,,0.08,,,,低,风格,穿搭方向：五一出游穿搭（萌芽期，增占比0%）
